Name;Street;Neighborhood;City;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Rô Petcare;;;;5.0;6.0;ChIJdZ-qveFBzpQRAYvlEDu5yQk;veterinary_care;-23.713797;-46.517916
Impacto Pet;Rua Nicolau Coelho, 25;Vila João Ramalho;Santo André;5.0;28.0;ChIJ2UDqFGJrzpQRBfizGaOr19U;pet_store;-23.7141679;-46.50493
Candy pet shop;Rua Ramalho Ortigão, 705;Jardim Irene;Santo André;5.0;1.0;ChIJSzVuqtxrzpQRaefiKZCEJZA;pet_store;-23.7097404;-46.5089232
Pet Shop Luan;Rua dos Ciprestes, 707;Jardim Irene;Santo André;4.9;30.0;ChIJF2BkJTJrzpQRH1PN9iHqAOM;pet_store;-23.7081401;-46.51106699999999
Pet Shop Junior;Avenida Inconfidência Mineira, 6860;Jardim Vila Rica;Santo André;4.5;92.0;ChIJLepGndVrzpQRDqLXeyM0un0;pet_store;-23.7116359;-46.5014091
CostaPet;;;;4.8;9.0;ChIJSbXjyB9BzpQRLOf0dr2uNFI;pet_store;-23.7080439;-46.51482189999999
Pet Shop Pedroso Santo André - Banho e Tosa, Veterinário e Rações!;Estrada do Pedroso, 943;Jardim Santo André;Santo André;4.8;297.0;ChIJe-8TQhFqzpQRzwYSxuUNM98;pet_store;-23.7064106;-46.5029732
Estrela Pets 01;Rua Tom Jobim, 326;Jardim Santo André CDHU;Santo André;3.0;2.0;ChIJcd0KulJrzpQREhwL27eEe18;pet_store;-23.7064718;-46.495864
Studio Bella's Patas Pet;Rua da Visão, 305;Jardim Santo André CDHU;Santo André;5.0;10.0;ChIJMWrbR4drzpQRU07SAzR29wE;pet_store;-23.705628;-46.497753
Agropet Pantaneiro;;;;4.5;8.0;ChIJ_cBEn49szpQREkMEkUyliCI;pet_store;-23.7123749;-46.4285083
Clínica Veterinária Ribeirão Pires;Avenida Kaethe Richers, 33;Centro;Ribeirão Pires;4.7;58.0;ChIJ4fmvde9szpQRb9dS-zdDT0Y;veterinary_care;-23.7139471;-46.41353470000001
Dr. Japa Pet Shop;Avenida Papa João XXIII, 15;Suíssa;Ribeirão Pires;4.6;9.0;ChIJYcwoXZNszpQR95QV_xdYBbk;pet_store;-23.716121;-46.4212455
Clinica Veterinária Amiguinho Feliz 24 Horas;Rua Major Cardim, 224;Centro Alto;Ribeirão Pires;4.4;315.0;ChIJe3fyOuhszpQRBExKJ_F7Cuw;veterinary_care;-23.7124449;-46.4193582
Global Agro Pet;Rua Presidente Bernardes, 37;Vila Aurora;Ribeirão Pires;5.0;10.0;ChIJX-3km6ltzpQR0Ed8cMq4kuM;pet_store;-23.7181921;-46.4119901
Veterinária Lulucão;Avenida Humberto de Campos, 835;Bocaina;Ribeirão Pires;4.8;166.0;ChIJUzi8k4tszpQRvICnKuXzPr4;veterinary_care;-23.7070725;-46.42346980000001
Saúde Animal Bayer;Avenida Kaethe Richers, 35;Pastoril;Ribeirão Pires;3.5;2.0;ChIJl7pPze5szpQRyxZpmwS2eOg;veterinary_care;-23.7139649;-46.4135239
Meraki HealthCare - Clínica Veterinaria;Rua Afonso Zampol, 48;Centro;Ribeirão Pires;4.9;77.0;ChIJW9Fs2vBtzpQRZN7jkX_H4tE;veterinary_care;-23.7116544;-46.41546570000001
Vocare Pets;Avenida Ernesto Menato, 1105;Subsolo 2 - Centro Alto;Ribeirão Pires;5.0;3.0;ChIJeeEKgn9tzpQRPNduDRUgCkU;pet_store;-23.7188094;-46.4097021
Pet Shop Nipon, 720;;;;4.6;482.0;ChIJ-wCY9ZptzpQRfcZ1SyKAX4s;pet_store;-23.7191348;-46.4074762
AcquaLife Aquarismo;;;;4.6;112.0;ChIJF7E2TCBtzpQRQ2z7PAbKtP8;pet_store;-23.7119521;-46.41435999999999
Quiron Clínica Veterinária;Rua Virgílio Gola, 103;Pastoril;Ribeirão Pires;4.9;169.0;ChIJD03eiuVszpQRBGjr_ZIbBrA;veterinary_care;-23.7115432;-46.4102869
Fofuras & Lambeijos Petshop;Avenida Prefeito Valdírio Prisco, 1590;Centro;Ribeirão Pires;5.0;26.0;ChIJRaMw1MJtzpQRwZ_ApkELurE;pet_store;-23.7091077;-46.404614
Veterinária Central;Rua Miguel Prisco, 510;Centro;Ribeirão Pires;4.7;328.0;ChIJxW8cCfFszpQRK2d4bIxIzNM;veterinary_care;-23.7067069;-46.41361599999999
VetClinic Saúde Animal;;;;4.9;37.0;ChIJY1l2USJtzpQRKdwwEqgXO2c;veterinary_care;-23.7071423;-46.418715
Rafa Pet;Rua Pedro Del Corto, 42;Santana;Ribeirão Pires;4.7;95.0;ChIJ-6rN8B1tzpQRK4h6Mj0NhFo;pet_store;-23.7084931;-46.4009757
Casa De Rações Nova Esperança;Whatsapp: (11) 98564 - Rua Eugênio Roncon, 730;4629__Al. 09.411-000 - Roncon;Ribeirão Pires;4.7;159.0;ChIJR52KPSJtzpQRegUhZijIeTA;pet_store;-23.7137607;-46.3951133
Sannty Pet;Rua Luiz Bettega, 191;Santana;Ribeirão Pires;5.0;71.0;ChIJIRSz8WJtzpQR-tfO1InRH-0;veterinary_care;-23.7102122;-46.4024665
Criadouro Buss - Aves Ornamentais;;;;4.5;83.0;ChIJKxQXCroMzpQR_wvUUh8hvYs;pet_store;-23.7072328;-46.2992036
Pet Shop of Didi;Avenida Álvaro Guimarães, 958;Planalto;São Bernardo do Campo;4.4;63.0;ChIJh-EWpsdDzpQRmYft6Wy0_4Q;pet_store;-23.698281;-46.565857
Mais que Bicho;Avenida Robert Kennedy, 1200;Vila Olga;São Bernardo do Campo;4.8;555.0;ChIJ-5k2POtDzpQRDCp0bpILrvc;veterinary_care;-23.700904;-46.577475
Bia Pet Shop;Rua Etram, 544;Planalto;São Bernardo do Campo;4.8;103.0;ChIJDdtpzrhDzpQRYCtIG0go3UY;pet_store;-23.695216;-46.5688646
Petshop Belo Toque;Rua Bolívia, 455;Jardim Santo Ignacio;São Bernardo do Campo;4.6;41.0;ChIJRyzJb_JDzpQRo6-deFqxTxo;veterinary_care;-23.7053731;-46.5843205
Pet Shop Dog House;Avenida Robert Kennedy, 1882;Independência;São Bernardo do Campo;4.8;63.0;ChIJGSnBRehDzpQRWQtSla5Axw0;veterinary_care;-23.7071389;-46.57567049999999
Avi-Dio Avicultura;Rua Benedito Conrado Filho, 370;Vila Planalto;São Bernardo do Campo;4.9;22.0;ChIJ97PHjcFDzpQRnERbkOe6AUU;pet_store;-23.7025674;-46.5725755
Callegaripet;Rua Arcângelo Campanella, 538;Jardim Calux;São Bernardo do Campo;5.0;3.0;ChIJ87H7xClDzpQRw8EtV6oEl2g;pet_store;-23.70087800000001;-46.5669615
JessyCat Pet Shop;Avenida Moinho Fabrini, 1333;Independência;São Bernardo do Campo;5.0;10.0;ChIJXRtqkmFDzpQREqJ6-8tK4Kk;pet_store;-23.7055443;-46.5792295
DOM PET - Petshop SBC;Avenida Álvaro Guimarães, 1020;Jardim Calux;São Bernardo do Campo;4.7;15.0;ChIJ2-Wz9TxDzpQRlrXblgcE6wo;pet_store;-23.69868739999999;-46.5654231
Pet Love Stuff;Rua Arthur Corradi, 75;Vila Dusi;São Bernardo do Campo;5.0;4.0;ChIJNyi-QU5DzpQRwpA14nFMg-A;pet_store;-23.7060979;-46.5541701
Pet Shop PetJatô;Rua 24 de Fevereiro, 184;Jardim Olavo Bilac;São Bernardo do Campo;4.9;7.0;ChIJk8Z3wThDzpQRq-eRLzI96fg;pet_store;-23.7027575;-46.5556508
Pet Shop Mascote;Avenida Álvaro Guimarães, 733;Planalto;São Bernardo do Campo;4.5;59.0;ChIJTckZe8dDzpQRGpaMbgh-w5E;pet_store;-23.6967751;-46.56732479999999
Patynhas Pet;Avenida José Odorizzi, 2117;Parque dos Passaros;São Bernardo do Campo;4.8;53.0;ChIJv3gO62hDzpQRslMtt7Wv-C4;pet_store;-23.7120325;-46.5824113
Luzes Pet Shop - Luzes Estética Animal.;Avenida Robert Kennedy, 950;Planalto;São Bernardo do Campo;5.0;22.0;ChIJOePeDctDzpQReFD7H6xpUXk;pet_store;-23.6988177;-46.5780199
Pedacinho do céu pet's;Rua Hipólito José da Costa, 150;Jardim Independencia;São Bernardo do Campo;5.0;3.0;ChIJyy-xulZRzpQR3jNdHjU980k;pet_store;-23.7036379;-46.58236519999999
Natureza Animal Com. de Rações;Avenida Robert Kennedy, 922;Independência;São Bernardo do Campo;4.8;74.0;ChIJCXTpk5RDzpQRg8dT2Lxjnwk;pet_store;-23.6985278;-46.5780042
Dr Marley Petshop;Avenida Senador Fláquer, 512;Vila Euclides;São Bernardo do Campo;4.6;9.0;ChIJ23fL6EVDzpQRyRAM39NIDdg;veterinary_care;-23.6969671;-46.5595551
Universo Pet SBC - Pet Shop;Rua Doutor José Oriá, 665;Jardim Gagliardi;São Bernardo do Campo;4.7;50.0;ChIJxbvZpbRDzpQRy8PXfbJnRzc;veterinary_care;-23.6946976;-46.5689036
Banho & Tosa;;;;5.0;1.0;ChIJL-pTlMlDzpQR6kVrpuJKrao;pet_store;-23.6953744;-46.5606246
Abraham Veterinary Clinic;Avenida Senador Fláquer, 707;Vila Euclides;São Bernardo do Campo;4.8;452.0;ChIJffWCqc5DzpQR7cWdLt73cS0;veterinary_care;-23.6988199;-46.55974799999999
Consultas Veterinárias à Domicílio - HomeVet SP;Travessa Rita Joaquina de Lima, 34;Vila Euclides;São Bernardo do Campo;5.0;9.0;ChIJHSOPdgZDzpQRodlYI_SIPJ8;veterinary_care;-23.6984184;-46.5590939
Prevent Pet Consultório Veterinário;Avenida Imperador Pedro II, 122;Nova Petrópolis;São Bernardo do Campo;5.0;32.0;ChIJo5mC85RDzpQRchK6agG4bFY;veterinary_care;-23.7028583;-46.55026639999999
Dog's Day;Avenida Redenção, 280;Jardim do Mar;São Bernardo do Campo;4.6;572.0;ChIJAR6RXjNCzpQRB8MaWosnjW0;pet_store;-23.6966036;-46.5537505
Pet Prime Life;;;;4.6;36.0;ChIJP2B2YS5CzpQRYVlIwpsJWCs;pet_store;-23.7045132;-46.5386209
tata pet shop ltda;;;;5.0;3.0;ChIJOUOtLstDzpQRqnBHHuEMX6E;pet_store;-23.7076196;-46.5463519
Love Pets;Avenida Paulo Afonso, 727;Nova Petrópolis;São Bernardo do Campo;5.0;7.0;ChIJ3RaBGYhBzpQRP7FpZgyFH4c;pet_store;-23.7078005;-46.54421369999999
Guardião Clínica Veterinária;Alameda Princesa Isabel, 329;Nova Petrópolis;São Bernardo do Campo;4.9;48.0;ChIJizXACWZDzpQRJlNR1IR3hag;veterinary_care;-23.7040095;-46.5466002
Bet Pet;Rua Ernesta Pelosini, 92;Nova Petrópolis;São Bernardo do Campo;5.0;1.0;ChIJswGpwy1CzpQRoS8KQbpjdxY;pet_store;-23.7014788;-46.5507308
O Meu Bichinho Espaço Pet - Pet Shop SBC;;;;4.9;43.0;ChIJe4grhe0_zpQRZ42E3fCh0vY;veterinary_care;-23.7030086;-46.54448129999999
PetShop Cuidado & CIA;Rua dos Vianas, 252;Baeta Neves;São Bernardo do Campo;5.0;18.0;ChIJV3YKnVBDzpQRk88oHOU0hHo;pet_store;-23.6990589;-46.5494341
Atendimento Veterinário Domiciliar - Dr. Bertoloni;Rua dos Vianas, 782;Baeta Neves;São Bernardo do Campo;5.0;36.0;ChIJc7kJS09bzpQRoU7KyLleNN8;veterinary_care;-23.6998152;-46.5449952
Pimpo Rações;Avenida Armando Ítalo Setti, 300;Baeta Neves;São Bernardo do Campo;5.0;8.0;ChIJaRCg_XhDzpQRDX_23_NvaSI;pet_store;-23.6980628;-46.5481096
PetShop Viana;Rua dos Vianas, 1030;Baeta Neves;São Bernardo do Campo;4.8;119.0;ChIJH0sbsyVCzpQR88AggcqrG9g;pet_store;-23.7005133;-46.54285600000001
BravosPet;Rua Vicente Galafassi, 113;Nova Petrópolis;São Bernardo do Campo;4.9;115.0;ChIJB8iHjGxBzpQR4f6GKgxeeWs;pet_store;-23.7075233;-46.5385814
Dogs & Cats - Petshop;Avenida Armando Ítalo Setti, 626;Baeta Neves;São Bernardo do Campo;4.6;31.0;ChIJj3nKViVCzpQRhnCARDGeSJk;pet_store;-23.6984832;-46.54487719999999
Dog Soul Resort;Avenida Imperador Pedro II, 777;Nova Petrópolis;São Bernardo do Campo;4.3;56.0;ChIJd4XPW1hDzpQRkEB8BBN-x_k;veterinary_care;-23.7039014;-46.5442109
Doutor Vet Consulta SBC;Avenida Redenção, 413;Jardim do Mar;São Bernardo do Campo;4.6;71.0;ChIJE5CZ_T1DzpQR2bRQrRye-MA;veterinary_care;-23.6957982;-46.55612119999999
Árbol Hospital Veterinário;Avenida Lucas Nogueira Garcez, 431;Centro;São Bernardo do Campo;4.5;177.0;ChIJRZr6l6tDzpQRxeLIyawo-t0;veterinary_care;-23.6934356;-46.5544653
Laços Pet Smile;Rua Itatiba, 326;Baeta Neves;São Bernardo do Campo;5.0;5.0;ChIJkT3VbvdBzpQRMhpKQQcG4RI;pet_store;-23.7042517;-46.5264542
